,Breed,breed_rank
0,Retrievers (Labrador),1
1,Retrievers (Labrador),1
2,Retrievers (Labrador),1
3,Retrievers (Labrador),1
4,German Shepherd Dogs,2
5,German Shepherd Dogs,2
6,German Shepherd Dogs,2
7,Retrievers (Golden),3
8,Retrievers (Golden),3
9,French Bulldogs,4
10,Bulldogs,5
11,Beagles,6
12,Poodles,7
13,Poodles,7
14,Rottweilers,8
15,Yorkshire Terriers,9
16,Pointers (German Shorthaired),10
17,Boxers,11
18,Siberian Huskies,12
19,Siberian Huskies,12
20,Dachshunds,13
21,Great Danes,14
22,Pembroke Welsh Corgis,15
23,Doberman Pinschers,16
24,Australian Shepherds,17
25,Miniature Schnauzers,18
26,Cavalier King Charles Spaniels,19
27,Shih Tzu,20
28,Boston Terriers,21
29,Pomeranians,22
30,Havanese,23
31,Shetland Sheepdogs,24
32,Bernese Mountain Dogs,25
33,Bernese Mountain Dogs,25
34,Brittanys,26
35,Spaniels (English Springer),27
36,Mastiffs,28
37,Spaniels (Cocker),29
38,Spaniels (Cocker),29
39,Vizslas,30
40,Pugs,31
41,Chihuahuas,32
42,Maltese,33
43,Weimaraners,34
44,Miniature American Shepherds,35
45,Newfoundlands,36
46,Cane Corso,37
47,Border Collies,38
48,Basset Hounds,39
49,Collies,40
50,Rhodesian Ridgebacks,41
51,West Highland White Terriers,42
52,West Highland White Terriers,42
53,Retrievers (Chesapeake Bay),43
54,Belgian Malinois,44
55,Shiba Inu,45
56,Bichons Frises,46
57,Akitas,47
58,St. Bernards,48
59,Soft Coated Wheaten Terriers,49
60,Bloodhounds,50
61,Bullmastiffs,51
62,Spaniels (English Cocker),52
63,Papillons,53
64,Portuguese Water Dogs,54
65,Airedale Terriers,55
66,Australian Cattle Dogs,56
67,Australian Cattle Dogs,56
68,Samoyeds,57
69,Scottish Terriers,58
70,Alaskan Malamutes,59
71,Bull Terriers,60
72,Whippets,61
73,Pointers (German Wirehaired),62
74,Dalmatians,63
75,Chinese Shar-Pei,64
76,Wirehaired Pointing Griffons,65
77,Great Pyrenees,66
78,Dogues de Bordeaux,67
79,Cardigan Welsh Corgis,68
80,Cardigan Welsh Corgis,68
81,Cardigan Welsh Corgis,68
82,Cardigan Welsh Corgis,68
83,Cairn Terriers,69
84,Old English Sheepdogs,70
85,Old English Sheepdogs,70
86,Miniature Pinschers,71
87,Setters (Irish),72
88,Irish Wolfhounds,73
89,Italian Greyhounds,74
90,Greater Swiss Mountain Dogs,75
91,Chow Chows,76
92,Lhasa Apsos,77
93,Russell Terriers,78
94,Chinese Crested,79
95,Giant Schnauzers,80
96,Giant Schnauzers,80
97,Coton de Tulear,81
98,Staffordshire Bull Terriers,82
99,American Staffordshire Terriers,83
100,Basenjis,84
101,Bouviers des Flandres,85
102,Anatolian Shepherd Dogs,86
103,Keeshonden,87
